"@OposisiCerdas PSI ini lama-lama kaya sekumpulan bocah maen, serampangan banget. Kemaren Ganjar, sekarang Yenny. 😅😅😅				"
"@OposisiCerdas Sekalian pilih ganjar 😁				"
"Boleh, Mau Ganjar, Anies dll CFD politik silahkan asal kemasan bagus. https://t.co/z55WWbhgGs				"
"@hustle_man01 @SatuDaya @detikcom Asal jangan blunder aja 2024 nanti kekeuh ngajuin Puan bukan Ganjar.... 😅				"
"@Wongkuno2B Waduh....kok gak ada nyalahin pak ganjar.. kalo DKI banjir pasti salahx pak anis				"
"DPC PPP Wilayah Mataraman Deklarasi Ganjar Capres 2024				"
"@cobeh2021 Apa yg dilakukan pk Ganjar sudah sangat2 tepat , hitung2nganya Partai PSI hanya menjadikan reputasi dia anjlok,				"
"@berlianidris @panca66 Semakin berkembang : Ganjar No Anis Yes, nih kecuali dari parpol dominan warna merah				"
"@yusuf_dumdum Prestasi ganjar ngak keluar2 beritanya, malah banjir meluas berhari2				"
"@anggiedwidowati Ganjar Ok				"
"PDI Perjuangan hingga kini belum menentukan capres 2024. Hanya saja, simbol Banteng kini diwakili Puan Maharani, bukan Ganjar Pranowo yg	dim	inta foku	s menjadi	Gubernur Jawa Tengah. https://t.co/8lzwYhBsit"
"Mak-Mak hingga Komunitas Bajaj di Jakarta Dukung Ganjar Pranowo Maju di Pilpres 2024 https://t.co/v7UGzdX7KI				"
"@di_dimu54412940 Ganjar capresnya dan Giring cawapresnya  mantap ha ha ha				"
"@kurawa salam buat ganjar dan puan maharani https://t.co/qeY50JkdID				"
"@GanjaranApp Hehehe Pak Ganjar seneng bgt #GanjaranApp #GanjarKita				"
"Ganjar dan Olly telah terlihat tiba di KPK dan masuk ke ruang pemeriksaan.				"
"Direktur Utama Kedai Kopi Hendri Satrio ingatkan peranan Puan Maharani dalam karier politik Ganjar Pranowo &amp				"
"Siapapun Pasangannya Puan Gak akan Kasih Kemenangan, PDIP Gak Usah Maksain, Mending Usung Ganjar https://t.co/8xz8vN3TKZ				"
"@ChusnulCh__ Udah Cocok jadi Mentri UMKM di Bawah Presiden Anies Baswedan... Ayo Ngul Dukung Den Ganjar jadi Mentri UMKM				"
"@GanjaranApp Bisa dilihat bgt dari kinerja pak ganjar #GanjaranApp #GanjarKita				"
"@ChusnulCh__ @ganjarpranowo @aniesbaswedan Ya jelas beda bos, yg demo dpn pak ganjar tarifnya murah.				"
"Mak-mak mendeklarasikan dukungan kepada Ganjar Pranowo untuk maju pada 2024 mendatang. #GanjarPranowo https://t.co/J8leddHXGA				"
"Ganjar iya, Yenny no. 😁😁😁 https://t.co/JHYjLFgroo				"
"@GanjaranApp Mantap sekali deh! Pak Ganjar aku padamu 🫶🏻 #GanjaranApp #GanjarKita				"
"@OposisiCerdas psi sedang memperlihatkan kebodohannya yang nyata, mencalonkan Ganjar ybs tidak diberi tahu,  mencalonkan Yeni ybs juga t	idak	diberi t	ahu.	"
