datetime;username;content
2022-10-15 23:26:58+00:00;geloraco;Hasil Survei Capres 2024 Terbaru, dari Prabowo Subianto Hingga Ganjar Pranowo
2022-10-15 23:25:43+00:00;nur_willy;Setau saya kalo demo ya bawa poster, spanduk, kenapa risih dengan itu lek Ganjar? Itukan bukan gas air mata kok https://t.co/kzlnkjf7w2
2022-10-15 23:24:13+00:00;SINDOnews;Survei LSP: Prabowo Subianto Diterima Baik oleh Pemilih Ganjar dan Anies
2022-10-15 23:23:07+00:00;Interisti_in;@geloraco Dah lah dah ketebak sebenarnya KIB mau nyalonin Ganjar kan? Ga usah pura pura terlalu lemah dramanya ET ga kuat , cuma kuat di PG doang
2022-10-15 23:21:32+00:00;Bambang_Budimab;@OposisiCerdas Bp Prabowo Subianto dan Bp Ganjar Pranowo dua Negarawan WNI Asli yg berpeluang besar Pimpin NKRI.
2022-10-15 23:20:04+00:00;Bebque__;@OposisiCerdas PSI ini lama-lama kaya sekumpulan bocah maen, serampangan banget. Kemaren Ganjar, sekarang Yenny. 😅😅😅
2022-10-15 23:19:45+00:00;djokopr19694147;@OposisiCerdas Sekalian pilih ganjar 😁
2022-10-15 23:19:35+00:00;OnlyFrens;Boleh, Mau Ganjar, Anies dll CFD politik silahkan asal kemasan bagus. https://t.co/z55WWbhgGs
2022-10-15 23:19:12+00:00;p4piKRiS;@hustle_man01 @SatuDaya @detikcom Asal jangan blunder aja 2024 nanti kekeuh ngajuin Puan bukan Ganjar.... 😅
2022-10-15 23:18:38+00:00;toaguasa;@Wongkuno2B Waduh....kok gak ada nyalahin pak ganjar.. kalo DKI banjir pasti salahx pak anis
2022-10-15 23:16:36+00:00;geloraco;DPC PPP Wilayah Mataraman Deklarasi Ganjar Capres 2024
2022-10-15 23:16:05+00:00;AhmadSh28630668;@cobeh2021 Apa yg dilakukan pk Ganjar sudah sangat2 tepat , hitung2nganya Partai PSI hanya menjadikan reputasi dia anjlok,
2022-10-15 23:15:56+00:00;DCeduk;@berlianidris @panca66 Semakin berkembang : Ganjar No Anis Yes, nih kecuali dari parpol dominan warna merah
2022-10-15 23:15:27+00:00;kellyrudi;@yusuf_dumdum Prestasi ganjar ngak keluar2 beritanya, malah banjir meluas berhari2
2022-10-15 23:15:12+00:00;herrycho_12;@anggiedwidowati Ganjar Ok
2022-10-15 23:14:50+00:00;Krissbee19;PDI Perjuangan hingga kini belum menentukan capres 2024. Hanya saja, simbol Banteng kini diwakili Puan Maharani, bukan Ganjar Pranowo yg diminta fokus menjadi Gubernur Jawa Tengah. https://t.co/8lzwYhBsit
2022-10-15 23:13:27+00:00;Zyanpatra;Mak-Mak hingga Komunitas Bajaj di Jakarta Dukung Ganjar Pranowo Maju di Pilpres 2024 https://t.co/v7UGzdX7KI
2022-10-15 23:13:02+00:00;mbahjam95479029;@di_dimu54412940 Ganjar capresnya dan Giring cawapresnya  mantap ha ha ha
2022-10-15 23:12:11+00:00;NovyPras;@kurawa salam buat ganjar dan puan maharani https://t.co/qeY50JkdID
2022-10-15 23:12:10+00:00;minyaieo;@GanjaranApp Hehehe Pak Ganjar seneng bgt #GanjaranApp #GanjarKita
2022-10-15 23:11:58+00:00;mariaan_anna;Ganjar dan Olly telah terlihat tiba di KPK dan masuk ke ruang pemeriksaan.
2022-10-15 23:10:52+00:00;baqulsosis;Direktur Utama Kedai Kopi Hendri Satrio ingatkan peranan Puan Maharani dalam karier politik Ganjar Pranowo &amp
2022-10-15 23:10:02+00:00;WartaEkonomi;Siapapun Pasangannya Puan Gak akan Kasih Kemenangan, PDIP Gak Usah Maksain, Mending Usung Ganjar https://t.co/8xz8vN3TKZ
2022-10-15 23:09:51+00:00;SunnahRasulLove;@ChusnulCh__ Udah Cocok jadi Mentri UMKM di Bawah Presiden Anies Baswedan... Ayo Ngul Dukung Den Ganjar jadi Mentri UMKM
2022-10-15 23:09:14+00:00;minyaieo;@GanjaranApp Bisa dilihat bgt dari kinerja pak ganjar #GanjaranApp #GanjarKita
2022-10-15 23:09:07+00:00;Lie54ngPencerah;@ChusnulCh__ @ganjarpranowo @aniesbaswedan Ya jelas beda bos, yg demo dpn pak ganjar tarifnya murah.
2022-10-15 23:08:02+00:00;jpnncom;Mak-mak mendeklarasikan dukungan kepada Ganjar Pranowo untuk maju pada 2024 mendatang. #GanjarPranowo https://t.co/J8leddHXGA
2022-10-15 23:07:59+00:00;anggiedwidowati;Ganjar iya, Yenny no. 😁😁😁 https://t.co/JHYjLFgroo
2022-10-15 23:07:20+00:00;minyaieo;@GanjaranApp Mantap sekali deh! Pak Ganjar aku padamu 🫶🏻 #GanjaranApp #GanjarKita
2022-10-15 23:07:03+00:00;GiriHaryoto;@OposisiCerdas psi sedang memperlihatkan kebodohannya yang nyata, mencalonkan Ganjar ybs tidak diberi tahu,  mencalonkan Yeni ybs juga tidak diberi tahu.
2022-10-15 23:06:48+00:00;yunianitasari82;@ganjarpranowo nggih leres pak ganjar...lare  kulo smp negeri nggih di tarik uang pembangunan 600rb,niki pun kls 9 ditarik maleh 150rb.kulo mung kuli pak ganjaar.arto sak monten nggih katah sanget😊😊🙏🙏
2022-10-15 23:06:26+00:00;minyaieo;@GanjaranApp Pak Ganjar top markotop sekali! Semangat buat kita yang dukung pak ganjar #GanjaranApp #GanjarKita
2022-10-15 23:05:31+00:00;minyaieo;@GanjaranApp Ayo bu kasih lampu hijau Ganjar maju #GanjaranApp #GanjarKita
2022-10-15 23:01:19+00:00;syalalalafiq;@registaco Ganjar pranowo kalo misal gagal nyaper karna kalah dari anak hokage mending jadi ketum PSSI, pendekatan politik nya lumayan bagus tapi perlu di dampingin orang orang bola asli kayak mantan pemain atau praktisi tata kelola sepak bola
2022-10-15 22:56:33+00:00;minyaieo;@GanjaranApp Memang Pak Ganjar itu selalu deh buat hal yg baru #GanjaranApp #GanjarKita
2022-10-15 22:52:10+00:00;HalimRudianto;@ChusnulCh__ @ganjarpranowo @aniesbaswedan Ya beda kelas lah.. pak ganjar ini mirip pak jkwi, pemimpin yg betul2 merakyat dan berasal dr bawah. Jd mengerti betul cara pendekatan kepd rakyat kecil. Bukan hanya pandai memoles kata2 mutiara dan nasehat2 surg
2022-10-15 22:49:48+00:00;UmyHisyam;@Dnok_Ayu Beliau .. bisa berteman berkumpul dng siapa saja . Dng anak2 sayang.. dng yg sepuh mnghormati.. dng yg muda bisa merangkul..Yg penting ttp sopan santun sebagai pemimpin mnghargai siapapun..Berkah kagem pak Ganjar 🌹🇮🇩
2022-10-15 22:46:27+00:00;RadaKalih;Panutan Pak Ganjar https://t.co/Jb1GFESNiL
2022-10-15 22:44:52+00:00;Ugi7498;@detikcom Jadinya capres dari PDIP siapa nih. Ganjar atau Puan. Kok paling dielu2kan di medsos dan byk promos diri itu Ganjar. Apa Ganjar yg dipilih partai PDIP.
2022-10-15 22:41:55+00:00;jokongiskhan;@ChusnulCh__ @ganjarpranowo Ada yang bisa sebutkan 10 saja prestasi pak ganjar baik Dari dalam maupun luar? Katanya sih hebat.
2022-10-15 22:40:23+00:00;afmardani;@ChusnulCh__ @ganjarpranowo Ganjar hebat.. tinggal menunggu siapa yg bakal meminang jadi capres atau cawapres.. oh sudah ya? Dari PSI partai bro dan sis itu? Bersyukur akhirnya ada partai yg deklarasi. Manstab.. lanjutkeun.
2022-10-15 22:39:01+00:00;Ojoklalenya;"@PartBurungGalak Pas sih tdk...Tapi jika mega dan pdip msh spt saat ini...seolah tdk butuh Ganjar dan trs main """"detik2 terakhir""""....mk ini yg paling pas☝️‼pengusung Ganjar sdh muak dg sikap PDIP yg acuh tp butuh kekuasaan di istana☝️☝️"
2022-10-15 22:37:17+00:00;detikcom;Relawan 'Sedherek Ganjar Pranowo Gunungkidul' mendeklarasikan dukungan untuk Ganjar maju menjadi Presiden RI 2024 https://t.co/GeF5p3fH0S
2022-10-15 22:36:05+00:00;PNgorang;@ganjarpranowo Pak Ganjar, selama pak guru dan kepala sekolah punya kewenangan untuk melakukan apa saja kpd muridnya selama itulah ia menyalahgunakan kewenangannya (abuse of power). Kontrol muridnya dan ortunya perlu digalakkan.
2022-10-15 22:36:00+00:00;bangZhack86;@febridiansyah E-KTP Ganjar bgaimana bro❓
2022-10-15 22:33:31+00:00;Messi_Ozil7;@aLy_Bima Panter pemujanya ga ada yg ngajuin dia capres cawapres,beralih ke ganjar🤣
2022-10-15 22:33:24+00:00;PenikmatHibura2;@gomez_siahaan @iqbal_farabi Maksudnya pak Ganjar kabur saat petani kendeng datang kok
2022-10-15 22:32:35+00:00;Miftah79066543;@Uki23 Ini juga prestasinya oum ganjar.... https://t.co/CIXi4pmpuy
2022-10-15 22:30:53+00:00;PenikmatHibura2;@BeniPrime Ganjar disamperin petani kendeng malah kabur
2022-10-15 22:29:35+00:00;SINDOnews;Srikandi Ganjar Ingin Perempuan Kalteng Sehat, Mandiri dan Pintar Rawat Diri
2022-10-15 22:28:38+00:00;Yunardi_Pito;@ChusnulCh__ @ganjarpranowo Anies sdh didukung partai,ganjar ? Saingan Ganjar tu Puan... https://t.co/4rHck7Fhdi
2022-10-15 22:28:35+00:00;Ugi7498;@ChusnulCh__ @msaid_didu Hahahaha jgn Dimata temen saat kecilnya. Kenyataan yg skrg aja. BUMN malah engap2, gak jelas strateginya. Kelihatannya yg bikin konten mau mensandingkan Ganjar sama Erick nih. Wah keren..jebur masuk sumur.
2022-10-15 22:28:32+00:00;signorguruh;@ganjarpranowo Ono aeee...tetap sehat dan sukses slalu pak Ganjar. Aamiin
2022-10-15 22:28:12+00:00;EagleReaper01;@psi_id bro sis, ganjar tuh doyan film bokep. para sista gak risih dukung dia? apa jadinya kalo presiden kita hobinya liat film bokep? .. gile lu dro .. pilih capres yg lain aja bro sis
